model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0	0.962429	0.962429	0.054188	447.108
0,0,0,1,0	0.0105	0.972929	0.030199	0.340772
0,0,1,0,0	0.00528571	0.978214	0.029919	0.172292
0,1,0,0,0	0.00421429	0.982429	0.030025	0.136721
0,1,1,1,1	0.00342857	0.985857	0.02992	0.111545
0,0,0,0,1	0.00257143	0.988429	0.030376	0.0822935
0,1,0,1,0	0.00185714	0.990286	0.009955	0.18504
0,0,0,1,1	0.00171429	0.992	0.009956	0.170765
0,1,1,0,0	0.00157143	0.993571	0.010148	0.153521
0,0,1,1,0	0.00121429	0.994786	0.010045	0.119816
0,0,1,1,1	0.00121429	0.996	0.010028	0.120021
0,1,0,0,1	0.00107143	0.997071	0.010065	0.105493
0,0,1,0,1	0.000928571	0.998	0.009861	0.0933241
0,1,1,0,1	0.0005	0.9985	0.01013	0.0488828
0,1,1,1,0	0.000357143	0.998857	0.010105	0.0349985
0,0,1,2,0	0.000285714	0.999143	0.02233	0.0125129
0,1,0,1,1	0.000214286	0.999357	0.010078	0.0210529
0,1,0,2,0	0.000214286	0.999571	0.022471	0.00932381
0,1,2,2,2	0.000142857	0.999714	0.022233	0.0062835
0,0,1,2,2	7.14286e-05	0.999786	0.011133	0.00634496
0,0,1,1,2	7.14286e-05	0.999857	0.011281	0.00626078
0,1,2,1,0	7.14286e-05	0.999929	0.011181	0.00631741
0,0,1,0,2	7.14286e-05	1	0.022269	0.00313633
