model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0	0.773286	0.773286	0.05369	60.1175
0,0,0,1,0	0.0554286	0.828714	0.030219	1.88318
0,0,0,0,1	0.0242143	0.852929	0.030285	0.794573
0,1,0,0,0	0.0235714	0.8765	0.030357	0.771078
0,0,1,0,0	0.0217143	0.898214	0.029954	0.718815
0,1,1,1,1	0.0187143	0.916929	0.030113	0.61425
0,0,0,1,1	0.00892857	0.925857	0.010212	0.873189
0,1,1,0,0	0.00871429	0.934571	0.010149	0.857392
0,0,1,1,1	0.00721429	0.941786	0.010078	0.71378
0,0,1,0,1	0.00664286	0.948429	0.010008	0.661506
0,1,0,0,1	0.00642857	0.954857	0.009986	0.641453
0,1,1,1,0	0.00585714	0.960714	0.01014	0.575139
0,1,1,0,1	0.00557143	0.966286	0.01012	0.548018
0,1,0,1,0	0.00521429	0.9715	0.010016	0.518083
0,0,1,1,0	0.00485714	0.976357	0.010055	0.480534
0,1,0,1,1	0.00428571	0.980643	0.010032	0.424739
0,0,0,1,2	0.00278571	0.983429	0.022385	0.122
0,1,1,2,1	0.00207143	0.9855	0.022275	0.0911107
0,1,0,2,1	0.0015	0.987	0.011133	0.133435
0,1,0,2,0	0.00142857	0.988429	0.022272	0.0628032
0,1,0,0,2	0.00135714	0.989786	0.022321	0.0595248
0,1,2,0,0	0.00121429	0.991	0.022295	0.0533149
0,1,1,1,2	0.00114286	0.992143	0.022038	0.0507736
0,0,1,2,0	0.000857143	0.993	0.022159	0.0378568
0,0,1,2,1	0.000857143	0.993857	0.01131	0.0749934
0,1,2,0,2	0.000714286	0.994571	0.011194	0.0631405
0,1,0,1,2	0.000642857	0.995214	0.011091	0.0573561
0,1,2,2,0	0.0005	0.995714	0.011163	0.044313
0,1,2,1,1	0.0005	0.996214	0.02232	0.0219124
0,0,1,1,2	0.000428571	0.996643	0.011032	0.0384359
0,1,2,1,2	0.000428571	0.997071	0.011597	0.0365425
0,1,2,1,0	0.000357143	0.997429	0.011141	0.0317108
0,1,2,0,1	0.000357143	0.997786	0.011015	0.0320776
0,1,2,2,2	0.000285714	0.998071	0.022347	0.0125032
0,1,2,2,1	0.000214286	0.998286	0.01118	0.0189567
0,0,1,0,2	0.000214286	0.9985	0.022369	0.00936731
0,1,2,3,2	0.000214286	0.998714	0.024807	0.00842563
0,0,1,2,2	0.000214286	0.998929	0.011214	0.0188985
0,1,0,2,2	0.000214286	0.999143	0.011307	0.0187413
0,1,1,2,0	0.000142857	0.999286	0.01112	0.0127058
0,1,2,1,3	0.000142857	0.999429	0.024815	0.00561483
0,1,2,3,1	0.000142857	0.999571	0.025027	0.00556606
0,1,1,2,3	7.14286e-05	0.999643	0.024767	0.00281279
0,1,1,2,2	7.14286e-05	0.999714	0.011207	0.00630259
0,1,1,0,2	7.14286e-05	0.999786	0.011257	0.00627428
0,1,0,2,3	7.14286e-05	0.999857	0.02464	0.00282766
0,1,2,2,3	7.14286e-05	0.999929	0.024758	0.00281384
0,1,2,3,0	7.14286e-05	1	0.02475	0.00281478
