model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0	0.6475	0.6475	0.053855	32.271
0,0,0,1,0	0.0745	0.722	0.030081	2.59551
0,0,0,0,1	0.0338571	0.755857	0.030267	1.12277
0,0,1,0,0	0.0328571	0.788714	0.030012	1.09802
0,1,1,1,1	0.0291429	0.817857	0.030077	0.968009
0,1,0,0,0	0.0251429	0.843	0.029636	0.844479
0,1,1,0,0	0.0124286	0.855429	0.009927	1.25517
0,0,1,0,1	0.0116429	0.867071	0.010086	1.15618
0,0,0,1,1	0.0107857	0.877857	0.009984	1.08118
0,1,0,0,1	0.0104286	0.888286	0.010068	1.03619
0,1,1,0,1	0.0100714	0.898357	0.00995	1.01233
0,1,0,1,1	0.00928571	0.907643	0.009933	0.934224
0,0,1,1,0	0.00885714	0.9165	0.010016	0.883265
0,0,1,1,1	0.0085	0.925	0.010047	0.844704
0,1,1,1,0	0.00835714	0.933357	0.009975	0.836442
0,1,0,1,0	0.00828571	0.941643	0.010065	0.821744
0,0,0,1,2	0.00628571	0.947929	0.022375	0.276377
0,0,1,2,0	0.00542857	0.953357	0.022432	0.237864
0,1,0,2,0	0.00535714	0.958714	0.022361	0.23548
0,1,1,2,1	0.00407143	0.962786	0.02241	0.178334
0,1,0,0,2	0.00278571	0.965571	0.022323	0.122346
0,0,1,0,2	0.0025	0.968071	0.022296	0.109902
0,1,1,2,2	0.00221429	0.970286	0.011283	0.194466
0,1,0,2,1	0.002	0.972286	0.01114	0.177889
0,1,2,1,1	0.00192857	0.974214	0.022338	0.0845704
0,1,1,1,2	0.00192857	0.976143	0.022211	0.085065
0,1,2,2,2	0.00192857	0.978071	0.022527	0.0838447
0,0,1,2,1	0.00192857	0.98	0.011193	0.170702
0,1,1,2,0	0.00185714	0.981857	0.01105	0.166519
0,1,2,0,2	0.00185714	0.983714	0.011264	0.16332
0,1,0,2,2	0.00157143	0.985286	0.011329	0.137353
0,1,2,0,1	0.00157143	0.986857	0.011297	0.137746
0,1,2,2,1	0.0015	0.988357	0.011294	0.131511
0,1,1,0,2	0.00142857	0.989786	0.011306	0.125105
0,1,2,0,0	0.00121429	0.991	0.022469	0.0528927
0,1,2,1,2	0.00121429	0.992214	0.011179	0.107538
0,0,1,2,2	0.00121429	0.993429	0.011287	0.106498
0,1,2,2,0	0.00107143	0.9945	0.011208	0.0946249
0,1,0,1,2	0.001	0.9955	0.01121	0.0882944
0,1,1,2,3	0.001	0.9965	0.024527	0.0398112
0,1,2,1,0	0.000857143	0.997357	0.011396	0.074421
0,1,2,3,2	0.000571429	0.997929	0.024867	0.0224208
0,1,2,3,3	0.000285714	0.998214	0.024698	0.0112858
0,1,2,3,1	0.000285714	0.9985	0.024743	0.0112648
0,1,2,2,3	0.000285714	0.998786	0.025085	0.0111073
0,1,0,2,3	0.000214286	0.999	0.024703	0.00846201
0,1,2,1,3	0.000214286	0.999214	0.024826	0.00841902
0,1,2,0,3	0.000214286	0.999429	0.024894	0.00839544
0,1,2,3,0	0.000142857	0.999571	0.025093	0.00555104
0,0,1,2,3	0.000142857	0.999714	0.024845	0.00560788
0,0,1,1,2	0.000142857	0.999857	0.011258	0.0125483
0,1,2,3,4	0.000142857	1	0.055304	0.00244062
