model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0	0.299786	0.299786	0.00045	950.981
0,0,0,1,0	0.0895714	0.389357	0.001438	68.3187
0,1,1,1,1	0.0515	0.440857	0.001412	38.3991
0,0,1,0,0	0.0491429	0.49	0.001376	37.5084
0,0,0,0,1	0.0466429	0.536643	0.001393	35.073
0,1,0,0,0	0.0373571	0.574	0.001349	28.7283
0,0,0,1,2	0.0227857	0.596786	0.005878	3.94351
0,0,1,2,0	0.0203571	0.617143	0.005847	3.53321
0,0,0,1,1	0.0197143	0.636857	0.000476	42.2294
0,1,0,2,0	0.0192857	0.656143	0.00585	3.34187
0,1,1,2,1	0.019	0.675143	0.005883	3.27283
0,0,1,1,1	0.0152857	0.690429	0.000416	37.2994
0,1,0,1,1	0.014	0.704429	0.000431	32.9296
0,0,1,0,2	0.0132857	0.717714	0.00587	2.28033
0,0,1,1,0	0.013	0.730714	0.000483	27.2564
0,1,0,1,0	0.0127143	0.743429	0.00047	27.3872
0,1,2,0,0	0.0120714	0.7555	0.00582	2.08725
0,1,1,1,0	0.0115	0.767	0.000442	26.3092
0,0,1,0,1	0.0115	0.7785	0.000447	26.0147
0,1,1,0,1	0.0114286	0.789929	0.000467	24.7437
0,1,1,0,0	0.0109286	0.800857	0.000446	24.7632
0,1,1,1,2	0.0100714	0.810929	0.005947	1.70059
0,0,1,2,1	0.00978571	0.820714	0.002952	3.33782
0,1,0,0,2	0.0095	0.830214	0.005971	1.59669
0,1,0,0,1	0.00921429	0.839429	0.000473	19.6524
0,1,2,2,2	0.00914286	0.848571	0.005934	1.54575
0,1,0,2,1	0.00892857	0.8575	0.002995	2.99901
0,1,2,1,1	0.00885714	0.866357	0.005937	1.49625
0,1,0,2,3	0.00828571	0.874643	0.03871	0.207479
0,1,1,2,0	0.00807143	0.882714	0.00286	2.83701
0,1,2,3,0	0.00792857	0.890643	0.038286	0.200751
0,1,1,2,3	0.0075	0.898143	0.038676	0.187827
0,0,1,2,2	0.00721429	0.905357	0.002921	2.48048
0,0,1,2,3	0.00692857	0.912286	0.038344	0.174979
0,1,2,3,1	0.00621429	0.9185	0.038918	0.154422
0,1,0,2,2	0.00614286	0.924643	0.002903	2.12294
0,1,2,3,2	0.00592857	0.930571	0.038246	0.149972
0,0,1,1,2	0.00592857	0.9365	0.002997	1.984
0,1,2,2,1	0.00592857	0.942429	0.00301	1.97541
0,1,1,2,2	0.00585714	0.948286	0.002967	1.97984
0,1,0,1,2	0.00528571	0.953571	0.002982	1.77665
0,1,1,0,2	0.00514286	0.958714	0.002938	1.75434
0,1,2,2,0	0.00514286	0.963857	0.003032	1.69979
0,1,2,1,2	0.00507143	0.968929	0.002876	1.76725
0,1,2,3,4	0.00457143	0.9735	0.499195	0.00460723
0,1,2,3,3	0.00442857	0.977929	0.038431	0.111299
0,1,2,1,3	0.00428571	0.982214	0.038732	0.106823
0,1,2,0,2	0.004	0.986214	0.002966	1.35002
0,1,2,1,0	0.00378571	0.99	0.002953	1.28306
0,1,2,0,1	0.0035	0.9935	0.003002	1.16647
0,1,2,0,3	0.00328571	0.996786	0.038728	0.0818239
0,1,2,2,3	0.00321429	1	0.038474	0.0805891
