model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0	0.8015	0.8015	0.053744	71.0922
0,0,0,1,0	0.0404286	0.841929	0.029871	1.36833
0,0,0,0,1	0.024	0.865929	0.02983	0.799753
0,1,0,0,0	0.0194286	0.885357	0.030173	0.63685
0,1,1,1,1	0.0183571	0.903714	0.030432	0.595798
0,0,1,0,0	0.0173571	0.921071	0.030101	0.569152
0,1,1,0,0	0.0075	0.928571	0.010046	0.744651
0,0,1,1,0	0.00707143	0.935643	0.009894	0.712687
0,1,1,0,1	0.00685714	0.9425	0.010085	0.677725
0,0,1,1,1	0.00657143	0.949071	0.010035	0.652568
0,1,0,0,1	0.00578571	0.954857	0.010064	0.572418
0,1,0,1,0	0.00521429	0.960071	0.010266	0.505339
0,1,0,1,1	0.005	0.965071	0.010086	0.493203
0,1,1,1,0	0.00478571	0.969857	0.010084	0.472058
0,0,0,1,1	0.00471429	0.974571	0.01029	0.455576
0,0,1,0,1	0.004	0.978571	0.009974	0.398637
0,0,1,2,0	0.00278571	0.981357	0.022262	0.122689
0,1,0,2,0	0.00271429	0.984071	0.022361	0.118994
0,0,0,1,2	0.00192857	0.986	0.022586	0.0836206
0,1,1,2,1	0.0015	0.9875	0.022128	0.066387
0,1,2,1,1	0.00114286	0.988643	0.022326	0.0501039
0,1,1,2,0	0.00114286	0.989786	0.011044	0.102456
0,0,1,2,1	0.00107143	0.990857	0.010919	0.0971578
0,1,0,2,1	0.001	0.991857	0.011124	0.0889847
0,1,1,2,2	0.001	0.992857	0.011292	0.0876459
0,1,2,2,2	0.000714286	0.993571	0.022386	0.0312157
0,1,0,1,2	0.000642857	0.994214	0.011269	0.0564399
0,1,2,1,0	0.000642857	0.994857	0.011032	0.0576663
0,0,1,0,2	0.0005	0.995357	0.022489	0.021744
0,1,1,0,2	0.0005	0.995857	0.011142	0.0443974
0,1,2,3,2	0.000428571	0.996286	0.024813	0.0168507
0,1,2,2,1	0.000428571	0.996714	0.011319	0.0374505
0,0,1,2,2	0.000428571	0.997143	0.011304	0.0375008
0,1,1,1,2	0.000357143	0.9975	0.022597	0.0154533
0,1,2,0,0	0.000357143	0.997857	0.02275	0.0153469
0,1,0,2,2	0.000357143	0.998214	0.01122	0.031485
0,1,0,0,2	0.000357143	0.998571	0.022091	0.0158154
0,1,2,0,2	0.000285714	0.998857	0.011145	0.0253576
0,1,1,2,3	0.000214286	0.999071	0.024674	0.00847221
0,1,2,1,2	0.000214286	0.999286	0.011309	0.018738
0,0,1,2,3	0.000214286	0.9995	0.024725	0.00845429
0,1,2,2,0	0.000142857	0.999643	0.011109	0.0127185
0,0,1,1,2	0.000142857	0.999786	0.011119	0.012707
0,1,2,0,1	7.14286e-05	0.999857	0.011318	0.00624008
0,1,2,1,3	7.14286e-05	0.999929	0.02515	0.00276887
0,1,2,2,3	7.14286e-05	1	0.024702	0.00282038
