model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0	0.972714	0.972714	0.054193	622.17
0,0,0,1,0	0.0055	0.978214	0.02995	0.179125
0,0,0,0,1	0.00478571	0.983	0.030091	0.154997
0,1,1,1,1	0.00328571	0.986286	0.030197	0.105871
0,0,1,0,0	0.00278571	0.989071	0.03004	0.0901991
0,0,1,1,1	0.00228571	0.991357	0.010108	0.224356
0,1,0,0,0	0.00214286	0.9935	0.030209	0.0689393
0,1,0,1,0	0.00128571	0.994786	0.010014	0.12727
0,1,1,0,0	0.00121429	0.996	0.010044	0.119828
0,1,1,0,1	0.00114286	0.997143	0.010092	0.112229
0,1,0,1,1	0.000714286	0.997857	0.010144	0.0697501
0,1,1,1,0	0.000714286	0.998571	0.010126	0.0698754
0,1,0,0,1	0.000642857	0.999214	0.00998	0.0638127
0,0,1,1,0	0.000571429	0.999786	0.010069	0.056212
0,0,0,1,1	0.000142857	0.999929	0.010074	0.0140399
0,0,1,0,1	7.14286e-05	1	0.009995	0.00707551
