model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0	0.783929	0.783929	0.053525	64.1552
0,0,0,1,0	0.0448571	0.828786	0.030342	1.50085
0,0,1,0,0	0.0237143	0.8525	0.029933	0.787199
0,0,0,0,1	0.0212143	0.873714	0.030292	0.693831
0,1,0,0,0	0.0194286	0.893143	0.029944	0.641872
0,1,1,1,1	0.0183571	0.9115	0.030279	0.598903
0,0,1,1,0	0.00885714	0.920357	0.010084	0.877249
0,0,0,1,1	0.00864286	0.929	0.009988	0.86415
0,0,1,0,1	0.00842857	0.937429	0.010126	0.830944
0,1,1,0,1	0.00671429	0.944143	0.009917	0.674865
0,1,0,0,1	0.00664286	0.950786	0.009976	0.66365
0,1,1,0,0	0.00621429	0.957	0.010065	0.615023
0,0,1,1,1	0.00607143	0.963071	0.010022	0.603402
0,1,0,1,1	0.00585714	0.968929	0.010008	0.582803
0,1,0,1,0	0.00578571	0.974714	0.010067	0.572246
0,1,1,1,0	0.00535714	0.980071	0.010134	0.526092
0,1,1,2,1	0.00214286	0.982214	0.022377	0.0938198
0,0,1,2,0	0.0015	0.983714	0.02249	0.0652943
0,1,0,2,0	0.00142857	0.985143	0.022247	0.0628754
0,0,0,1,2	0.00135714	0.9865	0.022451	0.0591723
0,0,1,1,2	0.00128571	0.987786	0.011114	0.114546
0,1,2,2,2	0.00128571	0.989071	0.022247	0.0565797
0,1,2,2,0	0.001	0.990071	0.011114	0.0890657
0,1,0,1,2	0.000857143	0.990929	0.011175	0.0759097
0,0,1,0,2	0.000857143	0.991786	0.022197	0.0377905
0,1,2,0,2	0.000857143	0.992643	0.011113	0.076338
0,1,2,1,1	0.000785714	0.993429	0.022415	0.0342943
0,1,1,1,2	0.000714286	0.994143	0.022261	0.031395
0,1,1,2,0	0.000714286	0.994857	0.011057	0.0639317
0,1,2,0,0	0.000714286	0.995571	0.022342	0.0312786
0,1,0,2,1	0.000642857	0.996214	0.011094	0.0573404
0,0,1,2,2	0.000571429	0.996786	0.011156	0.0506792
0,1,1,0,2	0.0005	0.997286	0.011117	0.0444984
0,1,2,0,1	0.000428571	0.997714	0.011323	0.0374371
0,1,2,1,0	0.000357143	0.998071	0.011137	0.0317223
0,0,1,2,1	0.000285714	0.998357	0.011072	0.0255267
0,1,2,2,1	0.000285714	0.998643	0.011079	0.0255104
0,1,1,2,2	0.000214286	0.998857	0.011128	0.0190462
0,1,2,1,2	0.000214286	0.999071	0.011187	0.0189447
0,1,1,2,3	0.000214286	0.999286	0.024858	0.00840791
0,1,2,3,0	0.000142857	0.999429	0.025267	0.00551183
0,1,2,3,1	0.000142857	0.999571	0.024881	0.00559956
0,1,0,2,2	0.000142857	0.999714	0.011377	0.0124156
0,1,0,0,2	0.000142857	0.999857	0.022624	0.00617243
0,1,2,0,3	7.14286e-05	0.999929	0.024726	0.00281758
0,1,0,2,3	7.14286e-05	1	0.024993	0.00278671
